subject_id,group,trial_id,frame,x,y,time_sec,event
rat01,Sham,t1,1,210,120,0.00,start
rat01,Sham,t1,2,214,124,0.05,
rat01,Sham,t1,3,220,130,0.10,
rat01,Sham,t1,4,225,138,0.15,
rat01,Sham,t1,5,228,147,0.20,
rat01,Sham,t1,6,226,157,0.25,
rat01,Sham,t1,7,218,166,0.30,
rat01,Sham,t1,8,208,172,0.35,
rat01,Sham,t1,9,196,175,0.40,
rat01,Sham,t1,10,183,174,0.45,end
rat02,NM,t1,1,170,98,0.00,start
rat02,NM,t1,2,179,102,0.05,
rat02,NM,t1,3,190,108,0.10,
rat02,NM,t1,4,204,116,0.15,
rat02,NM,t1,5,220,126,0.20,
rat02,NM,t1,6,236,140,0.25,
rat02,NM,t1,7,248,156,0.30,
rat02,NM,t1,8,255,174,0.35,
rat02,NM,t1,9,259,193,0.40,
rat02,NM,t1,10,262,212,0.45,end
